availability,burst_len_lines,burst_rate_per_frame,coverage,method,operable,psnr_full,scene
1.0,1,1.0,1.0,B4,1.0,34.67519273710227,synthetic:horizon-v0
1.0,1,1.0,1.0,B4,1.0,35.789760864019705,synthetic:horizon-v3
1.0,1,1.0,1.0,B4,1.0,29.240869845747593,synthetic:road-v0
1.0,1,1.0,1.0,B4,1.0,32.19281981642441,synthetic:road-v5
1.0,1,1.0,1.0,B4,1.0,35.64161233921867,synthetic:targets-v0
1.0,1,1.0,1.0,B4,1.0,35.590254533623614,synthetic:targets-v7
1.0,1,1.0,1.0,B4t,1.0,32.427984089747646,synthetic:horizon-v0
1.0,1,1.0,1.0,B4t,1.0,33.337056475048364,synthetic:horizon-v3
1.0,1,1.0,1.0,B4t,1.0,27.793245151823506,synthetic:road-v0
1.0,1,1.0,1.0,B4t,1.0,30.53200082386742,synthetic:road-v5
1.0,1,1.0,1.0,B4t,1.0,33.76142239352211,synthetic:targets-v0
1.0,1,1.0,1.0,B4t,1.0,33.48347674000502,synthetic:targets-v7
1.0,1,1.0,1.0,P,1.0,31.93482725529786,synthetic:horizon-v0
1.0,1,1.0,1.0,P,1.0,32.44442242452049,synthetic:horizon-v3
1.0,1,1.0,1.0,P,1.0,25.45845297911407,synthetic:road-v0
1.0,1,1.0,1.0,P,1.0,27.9271132845788,synthetic:road-v5
1.0,1,1.0,1.0,P,1.0,32.11843983018342,synthetic:targets-v0
1.0,1,1.0,1.0,P,1.0,31.566102600427357,synthetic:targets-v7
1.0,4,1.0,1.0,B4,1.0,34.67519273710227,synthetic:horizon-v0
1.0,4,1.0,1.0,B4,1.0,35.789760864019705,synthetic:horizon-v3
1.0,4,1.0,1.0,B4,1.0,29.240869845747593,synthetic:road-v0
1.0,4,1.0,1.0,B4,1.0,32.19281981642441,synthetic:road-v5
1.0,4,1.0,1.0,B4,1.0,35.64161233921867,synthetic:targets-v0
1.0,4,1.0,1.0,B4,1.0,35.590254533623614,synthetic:targets-v7
1.0,4,1.0,1.0,B4t,1.0,32.427984089747646,synthetic:horizon-v0
1.0,4,1.0,1.0,B4t,1.0,33.337056475048364,synthetic:horizon-v3
1.0,4,1.0,1.0,B4t,1.0,27.793245151823506,synthetic:road-v0
1.0,4,1.0,1.0,B4t,1.0,30.53200082386742,synthetic:road-v5
1.0,4,1.0,1.0,B4t,1.0,33.76142239352211,synthetic:targets-v0
1.0,4,1.0,0.9861111111111112,B4t,0.9444444444444444,33.01925717411878,synthetic:targets-v7
1.0,4,1.0,1.0,P,1.0,31.93482725529786,synthetic:horizon-v0
1.0,4,1.0,0.9861111111111112,P,0.9444444444444444,32.19226855992617,synthetic:horizon-v3
1.0,4,1.0,1.0,P,1.0,25.45845297911407,synthetic:road-v0
1.0,4,1.0,1.0,P,1.0,27.9271132845788,synthetic:road-v5
1.0,4,1.0,1.0,P,1.0,32.11843983018342,synthetic:targets-v0
1.0,4,1.0,1.0,P,1.0,31.566102600427357,synthetic:targets-v7
1.0,8,1.0,1.0,B4,1.0,34.67519273710227,synthetic:horizon-v0
1.0,8,1.0,1.0,B4,1.0,35.789760864019705,synthetic:horizon-v3
1.0,8,1.0,1.0,B4,1.0,29.240869845747593,synthetic:road-v0
1.0,8,1.0,1.0,B4,1.0,32.19281981642441,synthetic:road-v5
1.0,8,1.0,1.0,B4,1.0,35.64161233921867,synthetic:targets-v0
1.0,8,1.0,0.9722222222222222,B4,0.9444444444444444,34.881623617700754,synthetic:targets-v7
1.0,8,1.0,1.0,B4t,1.0,32.427984089747646,synthetic:horizon-v0
1.0,8,1.0,1.0,B4t,1.0,33.337056475048364,synthetic:horizon-v3
1.0,8,1.0,1.0,B4t,1.0,27.793245151823506,synthetic:road-v0
1.0,8,1.0,1.0,B4t,1.0,30.53200082386742,synthetic:road-v5
1.0,8,1.0,1.0,B4t,1.0,33.76142239352211,synthetic:targets-v0
1.0,8,1.0,0.9861111111111112,B4t,0.9444444444444444,33.027304474394725,synthetic:targets-v7
1.0,8,1.0,0.9861111111111112,P,0.9444444444444444,31.680606709950514,synthetic:horizon-v0
1.0,8,1.0,1.0,P,1.0,32.44442242452049,synthetic:horizon-v3
1.0,8,1.0,1.0,P,1.0,25.45845297911407,synthetic:road-v0
1.0,8,1.0,1.0,P,1.0,27.9271132845788,synthetic:road-v5
1.0,8,1.0,1.0,P,1.0,32.11843983018342,synthetic:targets-v0
1.0,8,1.0,0.9583333333333334,P,0.8888888888888888,30.577598833041115,synthetic:targets-v7
1.0,12,1.0,1.0,B4,1.0,34.67519273710227,synthetic:horizon-v0
1.0,12,1.0,0.9722222222222222,B4,0.9444444444444444,34.52237522820433,synthetic:horizon-v3
1.0,12,1.0,1.0,B4,1.0,29.240869845747593,synthetic:road-v0
1.0,12,1.0,1.0,B4,1.0,32.19281981642441,synthetic:road-v5
1.0,12,1.0,1.0,B4,1.0,35.64161233921867,synthetic:targets-v0
1.0,12,1.0,1.0,B4,1.0,35.590254533623614,synthetic:targets-v7
1.0,12,1.0,1.0,B4t,1.0,32.427984089747646,synthetic:horizon-v0
1.0,12,1.0,0.9583333333333334,B4t,0.9444444444444444,32.18226497422275,synthetic:horizon-v3
1.0,12,1.0,1.0,B4t,1.0,27.793245151823506,synthetic:road-v0
1.0,12,1.0,1.0,B4t,1.0,30.53200082386742,synthetic:road-v5
1.0,12,1.0,1.0,B4t,1.0,33.76142239352211,synthetic:targets-v0
1.0,12,1.0,1.0,B4t,1.0,33.48347674000502,synthetic:targets-v7
1.0,12,1.0,1.0,P,1.0,31.93482725529786,synthetic:horizon-v0
1.0,12,1.0,0.9652777777777778,P,0.8888888888888888,32.18663829177546,synthetic:horizon-v3
1.0,12,1.0,1.0,P,1.0,25.45845297911407,synthetic:road-v0
1.0,12,1.0,0.9722222222222222,P,0.8888888888888888,27.340859933592046,synthetic:road-v5
1.0,12,1.0,0.9861111111111112,P,0.9444444444444444,31.811826965994783,synthetic:targets-v0
1.0,12,1.0,0.9861111111111112,P,0.9444444444444444,31.23202626560216,synthetic:targets-v7
1.0,16,1.0,0.9722222222222222,B4,0.9444444444444444,33.41135611774609,synthetic:horizon-v0
