a,b,channel,diffs,equivalence_hi90,equivalence_lo90,equivalence_margin,equivalence_verdict,equivalent,family_label,hi,holm_note,in_family,is_primary,lo,mean,method,metric,n_boot,n_diffs,n_scenes,n_scenes_dropped,n_units,n_units_dropped,p_bootstrap,p_holm,p_raw,p_source,p_wilcoxon,scenes_only_in_a,scenes_only_in_b,significant_at_95,significant_holm,unit_of_independence,units,units_only_in_a,units_only_in_b
B0a,B0a-R,bursty,-5.404980;-5.705743;-4.458353;-5.113069;-3.170970;-5.319105;-4.833939;-6.036972;-4.897111;-4.609457;-4.259211;-4.637794;-5.115544;-5.323511;-5.075664;-5.393722;-4.270883;-4.926493;-6.116799;-4.596146,-4.7152993011067785,-5.1999569711319955,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-5.20; -4.72]): різниця просто не встановлена,False,exploratory,-4.668010356347521,поза наперед оголошеною сім'єю; не коригується,False,False,-5.244485165789165,-4.96327323802862,paired cluster bootstrap over scenes,psnr_full,10000,20,20,0,20,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",1.9073486328125e-06,,,True,False,scene,synthetic:clouds-v0;synthetic:clouds-v4;synthetic:edges-v0;synthetic:edges-v9;synthetic:grid-v0;synthetic:grid-v6;synthetic:horizon-v0;synthetic:horizon-v3;synthetic:illumination-v0;synthetic:lowlight-v0;synthetic:lowlight-v8;synthetic:road-v0;synthetic:road-v5;synthetic:smooth-v0;synthetic:targets-v0;synthetic:targets-v7;synthetic:text-v0;synthetic:text-v11;synthetic:texture-v0;synthetic:texture-v2,,
B0a,B0d,bursty,-7.450598;-10.100691;-3.267280;-5.779996;-3.161618;-6.498003;-13.348024;-6.207086;-18.872157;-19.063338;-6.706031;-9.817601;-11.641484;-11.331666;-10.601328;-7.924176;-5.888195;-4.636128;-4.205709,-7.143892384585842,-10.526587019403586,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-10.53; -7.14]): різниця просто не встановлена,False,exploratory,-6.8620443759407825,поза наперед оголошеною сім'єю; не коригується,False,False,-10.920390436669864,-8.763216168135868,paired cluster bootstrap over scenes,psnr_full,10000,19,19,1,19,1,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",3.814697265625e-06,synthetic:grid-v6,,True,False,scene,synthetic:clouds-v0;synthetic:clouds-v4;synthetic:edges-v0;synthetic:edges-v9;synthetic:grid-v0;synthetic:horizon-v0;synthetic:horizon-v3;synthetic:illumination-v0;synthetic:lowlight-v0;synthetic:lowlight-v8;synthetic:road-v0;synthetic:road-v5;synthetic:smooth-v0;synthetic:targets-v0;synthetic:targets-v7;synthetic:text-v0;synthetic:text-v11;synthetic:texture-v0;synthetic:texture-v2,synthetic:grid-v6,
B0a,B1,bursty,0.031252;0.084037;0.381919;0.406647;0.085163;0.008897;0.151279;0.108114;0.405807;0.040781;0.021211;0.096183;0.033213;-0.004355;0.067596;0.075069;0.120712;0.033129;0.065143;0.068205,0.16242620592718254,0.07131459434081532,0.5,еквівалентність у межах ±0.5 показана (90% CI [+0.07; +0.16]),True,exploratory,0.1724774901530036,поза наперед оголошеною сім'єю; не коригується,False,False,0.06392593958598,0.11400013710064778,paired cluster bootstrap over scenes,psnr_full,10000,20,20,0,20,0,0.00019998000199980003,nan,0.00019998000199980003,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",3.814697265625e-06,,,True,False,scene,synthetic:clouds-v0;synthetic:clouds-v4;synthetic:edges-v0;synthetic:edges-v9;synthetic:grid-v0;synthetic:grid-v6;synthetic:horizon-v0;synthetic:horizon-v3;synthetic:illumination-v0;synthetic:lowlight-v0;synthetic:lowlight-v8;synthetic:road-v0;synthetic:road-v5;synthetic:smooth-v0;synthetic:targets-v0;synthetic:targets-v7;synthetic:text-v0;synthetic:text-v11;synthetic:texture-v0;synthetic:texture-v2,,
B0a,B2,bursty,0.047925;0.105139;0.409681;0.357675;0.083174;0.045835;0.170149;0.089274;0.414488;0.027520;0.018343;0.132789;-0.021525;0.055355;0.078474;0.179258;0.017812;0.011491;0.056680;0.051301,0.1654365863746199,0.07340239080935733,0.5,еквівалентність у межах ±0.5 показана (90% CI [+0.07; +0.17]),True,exploratory,0.17567185962228007,поза наперед оголошеною сім'єю; не коригується,False,False,0.06627835922599422,0.1165419455540861,paired cluster bootstrap over scenes,psnr_full,10000,20,20,0,20,0,0.00019998000199980003,nan,0.00019998000199980003,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",1.33514404296875e-05,,,True,False,scene,synthetic:clouds-v0;synthetic:clouds-v4;synthetic:edges-v0;synthetic:edges-v9;synthetic:grid-v0;synthetic:grid-v6;synthetic:horizon-v0;synthetic:horizon-v3;synthetic:illumination-v0;synthetic:lowlight-v0;synthetic:lowlight-v8;synthetic:road-v0;synthetic:road-v5;synthetic:smooth-v0;synthetic:targets-v0;synthetic:targets-v7;synthetic:text-v0;synthetic:text-v11;synthetic:texture-v0;synthetic:texture-v2,,
B0a,B3,bursty,-16.894418;-18.303437;-16.427772;-16.814815;-7.352707;-10.792266;-16.610051;-18.472182;-16.017970;-22.327082;-23.556025;-12.762357;-16.814512;-20.687515;-17.668495;-18.646395;-12.476385;-13.869045;-10.134957;-10.531487,-14.339911152311638,-17.345885250678375,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-17.35; -14.34]): різниця просто не встановлена,False,exploratory,-14.064286886239717,поза наперед оголошеною сім'єю; не коригується,False,False,-17.63708396241241,-15.857993597866496,paired cluster bootstrap over scenes,psnr_full,10000,20,20,0,20,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",1.9073486328125e-06,,,True,False,scene,synthetic:clouds-v0;synthetic:clouds-v4;synthetic:edges-v0;synthetic:edges-v9;synthetic:grid-v0;synthetic:grid-v6;synthetic:horizon-v0;synthetic:horizon-v3;synthetic:illumination-v0;synthetic:lowlight-v0;synthetic:lowlight-v8;synthetic:road-v0;synthetic:road-v5;synthetic:smooth-v0;synthetic:targets-v0;synthetic:targets-v7;synthetic:text-v0;synthetic:text-v11;synthetic:texture-v0;synthetic:texture-v2,,
B0a,B4,bursty,-7.369550;-10.126774;-3.750121;-5.536471;-3.060936;-6.324911;-13.312200;-6.055623;-18.935781;-18.944792;-6.747769;-10.031370;-11.304016;-11.211428;-10.615124;-7.897264;-5.732117;-4.644817;-4.242319,-7.117182435196834,-10.488340004298804,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-10.49; -7.12]): різниця просто не встановлена,False,exploratory,-6.840039555929052,поза наперед оголошеною сім'єю; не коригується,False,False,-10.877320029790562,-8.728599076051541,paired cluster bootstrap over scenes,psnr_full,10000,19,19,1,19,1,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",3.814697265625e-06,synthetic:grid-v6,,True,False,scene,synthetic:clouds-v0;synthetic:clouds-v4;synthetic:edges-v0;synthetic:edges-v9;synthetic:grid-v0;synthetic:horizon-v0;synthetic:horizon-v3;synthetic:illumination-v0;synthetic:lowlight-v0;synthetic:lowlight-v8;synthetic:road-v0;synthetic:road-v5;synthetic:smooth-v0;synthetic:targets-v0;synthetic:targets-v7;synthetic:text-v0;synthetic:text-v11;synthetic:texture-v0;synthetic:texture-v2,synthetic:grid-v6,
B0a,B4t,bursty,-10.842243;-12.221408;-10.892994;-11.416879;-3.770710;-12.226876;-14.240692;-11.656404;-20.796052;-19.867971;-8.827514;-11.535610;-14.455249;-13.441307;-13.320072;-8.223813;-8.174581;-5.206197;-5.505553,-9.810531163352397,-13.03186041917273,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-13.03; -9.81]): різниця просто не встановлена,False,exploratory,-9.551013033512604,поза наперед оголошеною сім'єю; не коригується,False,False,-13.358485407199082,-11.401164464125072,paired cluster bootstrap over scenes,psnr_full,10000,19,19,1,19,1,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",3.814697265625e-06,synthetic:grid-v6,,True,False,scene,synthetic:clouds-v0;synthetic:clouds-v4;synthetic:edges-v0;synthetic:edges-v9;synthetic:grid-v0;synthetic:horizon-v0;synthetic:horizon-v3;synthetic:illumination-v0;synthetic:lowlight-v0;synthetic:lowlight-v8;synthetic:road-v0;synthetic:road-v5;synthetic:smooth-v0;synthetic:targets-v0;synthetic:targets-v7;synthetic:text-v0;synthetic:text-v11;synthetic:texture-v0;synthetic:texture-v2,synthetic:grid-v6,
B0a,P,bursty,-10.080221;-11.472132;-9.895109;-9.247800;-2.928177;-11.392022;-13.544315;-7.689886;-19.882593;-19.328567;-6.727897;-10.351602;-15.070224;-11.851321;-12.446891;-6.855377;-4.006702;-4.346478,-8.642940174535369,-12.222040231066176,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-12.22; -8.64]): різниця просто не встановлена,False,exploratory,-8.34643094067518,поза наперед оголошеною сім'єю; не коригується,False,False,-12.578964298628382,-10.39540638738939,paired cluster bootstrap over scenes,psnr_full,10000,18,18,2,18,2,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",7.62939453125e-06,synthetic:grid-v6;synthetic:text-v11,,True,False,scene,synthetic:clouds-v0;synthetic:clouds-v4;synthetic:edges-v0;synthetic:edges-v9;synthetic:grid-v0;synthetic:horizon-v0;synthetic:horizon-v3;synthetic:illumination-v0;synthetic:lowlight-v0;synthetic:lowlight-v8;synthetic:road-v0;synthetic:road-v5;synthetic:smooth-v0;synthetic:targets-v0;synthetic:targets-v7;synthetic:text-v0;synthetic:texture-v0;synthetic:texture-v2,synthetic:grid-v6;synthetic:text-v11,
B0a-R,B0d,bursty,-2.045618;-4.394948;1.191073;-0.666927;0.009353;-1.664064;-7.311053;-1.309975;-14.262700;-14.804127;-2.068237;-4.702057;-6.317973;-6.256002;-5.207607;-3.653293;-0.961702;1.480671;0.390437,-2.2282414595259503,-5.574266773122157,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-5.57; -2.23]): різниця просто не встановлена,False,exploratory,-1.9759165186210508,поза наперед оголошеною сім'єю; не коригується,False,False,-5.949977596374921,-3.818670906329839,paired cluster bootstrap over scenes,psnr_full,10000,19,19,1,19,1,0.00039996000399960006,nan,0.00039996000399960006,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",0.000522613525390625,synthetic:grid-v6,,True,False,scene,synthetic:clouds-v0;synthetic:clouds-v4;synthetic:edges-v0;synthetic:edges-v9;synthetic:grid-v0;synthetic:horizon-v0;synthetic:horizon-v3;synthetic:illumination-v0;synthetic:lowlight-v0;synthetic:lowlight-v8;synthetic:road-v0;synthetic:road-v5;synthetic:smooth-v0;synthetic:targets-v0;synthetic:targets-v7;synthetic:text-v0;synthetic:text-v11;synthetic:texture-v0;synthetic:texture-v2,synthetic:grid-v6,
B0a-R,B1,bursty,5.436231;5.789781;4.840272;5.519716;3.256133;5.328002;4.985218;6.145086;5.302919;4.650238;4.280422;4.733977;5.148757;5.319156;5.143259;5.468791;4.391595;4.959622;6.181941;4.664351,5.311094329219737,4.830316704516568,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [+4.83; +5.31]): різниця просто не встановлена,False,exploratory,5.355714432345541,поза наперед оголошеною сім'єю; не коригується,False,False,4.779091274244632,5.077273375129268,paired cluster bootstrap over scenes,psnr_full,10000,20,20,0,20,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",1.9073486328125e-06,,,True,False,scene,synthetic:clouds-v0;synthetic:clouds-v4;synthetic:edges-v0;synthetic:edges-v9;synthetic:grid-v0;synthetic:grid-v6;synthetic:horizon-v0;synthetic:horizon-v3;synthetic:illumination-v0;synthetic:lowlight-v0;synthetic:lowlight-v8;synthetic:road-v0;synthetic:road-v5;synthetic:smooth-v0;synthetic:targets-v0;synthetic:targets-v7;synthetic:text-v0;synthetic:text-v11;synthetic:texture-v0;synthetic:texture-v2,,
