accumulation_rows,column_twist,n_descriptions,n_units,placement_signature,row_signature,scheme
1,1,1,6,30be76ca69fb0be9,0ee7242bf9f22b5c,sequential
1,1,2,6,30be76ca69fb0be9,0ee7242bf9f22b5c,sequential
1,1,4,6,30be76ca69fb0be9,0ee7242bf9f22b5c,sequential
16,1,1,6,f95f6fef309b04bc,6bf1e8245596f3bb,block-16
16,1,2,6,f95f6fef309b04bc,6bf1e8245596f3bb,block-16
16,1,4,6,f95f6fef309b04bc,6bf1e8245596f3bb,block-16
64,1,1,6,38ad77371a5015e6,51b360763c98de85,block-64
64,1,2,6,38ad77371a5015e6,51b360763c98de85,block-64
64,1,4,6,38ad77371a5015e6,51b360763c98de85,block-64
278,1,1,6,f7295cd6cba02c40,e35b0d781909ae52,block-278
278,1,2,6,f7295cd6cba02c40,e35b0d781909ae52,block-278
278,1,4,6,f7295cd6cba02c40,e35b0d781909ae52,block-278
278,1,1,6,e68b14c2d581cc28,e35b0d781909ae52,diagonal-64
278,1,2,6,e68b14c2d581cc28,e35b0d781909ae52,diagonal-64
278,1,4,6,e68b14c2d581cc28,e35b0d781909ae52,diagonal-64
278,1,1,6,49962d2105b54a07,7dbb357426cc0549,random-64
278,1,2,6,49962d2105b54a07,7dbb357426cc0549,random-64
278,1,4,6,49962d2105b54a07,7dbb357426cc0549,random-64
278,0,1,6,f7295cd6cba02c40,e35b0d781909ae52,bawp-8
278,1,1,6,e68b14c2d581cc28,e35b0d781909ae52,bawp-8
278,3,1,6,a3a5b01e5daa3a19,e35b0d781909ae52,bawp-8
278,0,2,6,ed5d1ffcbcbd6f0b,0970432737d77bf6,bawp-8
278,1,2,6,4af2fdedd42629eb,0970432737d77bf6,bawp-8
278,3,2,6,b9a8d999f59fd59e,0970432737d77bf6,bawp-8
278,0,4,4,b8d76519a045285e,3e7fe3a262840aa6,bawp-8
278,1,4,4,17d7016f52102ec1,3e7fe3a262840aa6,bawp-8
278,3,4,4,d75401b598c5f1c4,3e7fe3a262840aa6,bawp-8
278,0,1,6,f7295cd6cba02c40,e35b0d781909ae52,bawp-16
278,1,1,6,e68b14c2d581cc28,e35b0d781909ae52,bawp-16
278,3,1,6,a3a5b01e5daa3a19,e35b0d781909ae52,bawp-16
278,0,2,6,ed5d1ffcbcbd6f0b,0970432737d77bf6,bawp-16
278,1,2,6,4af2fdedd42629eb,0970432737d77bf6,bawp-16
278,3,2,6,b9a8d999f59fd59e,0970432737d77bf6,bawp-16
278,0,4,4,b8d76519a045285e,3e7fe3a262840aa6,bawp-16
278,1,4,4,17d7016f52102ec1,3e7fe3a262840aa6,bawp-16
278,3,4,4,d75401b598c5f1c4,3e7fe3a262840aa6,bawp-16
278,0,1,6,f7295cd6cba02c40,e35b0d781909ae52,bawp-32
278,1,1,6,e68b14c2d581cc28,e35b0d781909ae52,bawp-32
278,3,1,6,a3a5b01e5daa3a19,e35b0d781909ae52,bawp-32
278,0,2,6,ed5d1ffcbcbd6f0b,0970432737d77bf6,bawp-32
278,1,2,6,4af2fdedd42629eb,0970432737d77bf6,bawp-32
278,3,2,6,b9a8d999f59fd59e,0970432737d77bf6,bawp-32
278,0,4,4,b8d76519a045285e,3e7fe3a262840aa6,bawp-32
278,1,4,4,17d7016f52102ec1,3e7fe3a262840aa6,bawp-32
278,3,4,4,d75401b598c5f1c4,3e7fe3a262840aa6,bawp-32
