authenticated,channel,coverage_meaning,failures,hi,lo,mean,method,metric,n_bit_exact_excluded,n_failed,n_observations,n_scenes,n_sources,n_units,unit_of_independence
False,bursty,,{},16.03432142505061,14.588471010184902,15.319495803829867,B0a,psnr_full,0,0,1600,20,20,20,scene
False,bursty,,{},21.16769723510362,19.388999473021183,20.28276904185849,B0a-R,psnr_full,0,0,1600,20,20,20,scene
False,bursty,,"{""no_sync"": 65, ""deadline_miss"": 46, ""capacity"": 80}",26.276476666340212,22.189005443081705,24.169917486850377,B0d,psnr_full,0,191,1409,19,19,19,scene
False,bursty,,{},15.938515038093012,14.458609352697172,15.20549566672922,B1,psnr_full,0,0,1600,20,20,20,scene
False,bursty,,{},15.931092620391505,14.462580637423864,15.202953858275782,B2,psnr_full,0,0,1600,20,20,20,scene
True,bursty,,"{""no_sync"": 168, ""deadline_miss"": 429}",33.025748849024396,29.255749014507842,31.17748940169637,B3,psnr_full,0,597,1003,20,20,20,scene
True,bursty,,"{""no_sync"": 66, ""deadline_miss"": 48, ""capacity"": 80}",26.22033245314617,22.162542544976652,24.135300394766055,B4,psnr_full,0,194,1406,19,19,19,scene
True,bursty,,"{""no_sync"": 18, ""capacity"": 80}",28.69887400741146,24.902333690799267,26.807865782839578,B4t,psnr_full,0,98,1502,19,19,19,scene
True,bursty,,"{""no_sync"": 3, ""capacity"": 160}",27.945748306664502,23.805503150889464,25.907045444354626,P,psnr_full,0,163,1437,18,18,18,scene
False,bursty,,{},0.566939258554015,0.5137023609722204,0.5429563833239006,B0a,ssim_full,0,0,1600,20,20,20,scene
False,bursty,,{},0.6978008080159123,0.6246814879929615,0.661882440196077,B0a-R,ssim_full,0,0,1600,20,20,20,scene
False,bursty,,"{""no_sync"": 65, ""deadline_miss"": 46, ""capacity"": 80}",0.8382217073840335,0.778323075316702,0.8095120574713728,B0d,ssim_full,0,191,1409,19,19,19,scene
False,bursty,,{},0.4919084640220328,0.422052162895665,0.4562394330238061,B1,ssim_full,0,0,1600,20,20,20,scene
False,bursty,,{},0.4908190614622143,0.42058072032869137,0.4549468755120161,B2,ssim_full,0,0,1600,20,20,20,scene
True,bursty,,"{""no_sync"": 168, ""deadline_miss"": 429}",0.9132480613220991,0.8871919522168185,0.9018894888159925,B3,ssim_full,0,597,1003,20,20,20,scene
True,bursty,,"{""no_sync"": 66, ""deadline_miss"": 48, ""capacity"": 80}",0.8377367505694437,0.7782236142762695,0.8093241043392433,B4,ssim_full,0,194,1406,19,19,19,scene
True,bursty,,"{""no_sync"": 18, ""capacity"": 80}",0.8479600305349307,0.8100457428246879,0.8302738663364986,B4t,ssim_full,0,98,1502,19,19,19,scene
True,bursty,,"{""no_sync"": 3, ""capacity"": 160}",0.8236595483564776,0.7629021546652897,0.7953606939598585,P,ssim_full,0,163,1437,18,18,18,scene
False,bursty,"картинка показана, але НЕ автентифікована",{},1.0,1.0,1.0,B0a,coverage,0,0,1600,20,20,20,scene
False,bursty,"картинка показана, але НЕ автентифікована",{},1.0,1.0,1.0,B0a-R,coverage,0,0,1600,20,20,20,scene
False,bursty,"картинка показана, але НЕ автентифікована","{""no_sync"": 65, ""deadline_miss"": 46, ""capacity"": 80}",0.7614309496698476,0.728072079236553,0.7439758048968573,B0d,coverage,0,191,1409,19,19,19,scene
False,bursty,"картинка показана, але НЕ автентифікована",{},1.0,1.0,1.0,B1,coverage,0,0,1600,20,20,20,scene
False,bursty,"картинка показана, але НЕ автентифікована",{},1.0,1.0,1.0,B2,coverage,0,0,1600,20,20,20,scene
True,bursty,,"{""no_sync"": 168, ""deadline_miss"": 429}",1.0,1.0,1.0,B3,coverage,0,597,1003,20,20,20,scene
True,bursty,,"{""no_sync"": 66, ""deadline_miss"": 48, ""capacity"": 80}",0.7587860840502699,0.7260637689476095,0.7416777821958743,B4,coverage,0,194,1406,19,19,19,scene
True,bursty,,"{""no_sync"": 18, ""capacity"": 80}",0.8925936031484963,0.8685233968098959,0.8805150388177475,B4t,coverage,0,98,1502,19,19,19,scene
True,bursty,,"{""no_sync"": 3, ""capacity"": 160}",0.8175520833333333,0.799982421875,0.80875,P,coverage,0,163,1437,18,18,18,scene
False,bursty,,{},16.03432142505061,14.588471010184902,15.319495803829867,B0a,psnr_verified,0,0,1600,20,20,20,scene
False,bursty,,{},21.16769723510362,19.388999473021183,20.28276904185849,B0a-R,psnr_verified,0,0,1600,20,20,20,scene
False,bursty,,"{""no_sync"": 65, ""deadline_miss"": 46, ""capacity"": 80}",33.342352734130074,29.692226961433697,31.57509628752138,B0d,psnr_verified,0,191,1409,19,19,19,scene
False,bursty,,{},15.938515038093012,14.458609352697172,15.20549566672922,B1,psnr_verified,0,0,1600,20,20,20,scene
False,bursty,,{},15.931092620391505,14.462580637423864,15.202953858275782,B2,psnr_verified,0,0,1600,20,20,20,scene
True,bursty,,"{""no_sync"": 168, ""deadline_miss"": 429}",33.025748849024396,29.255749014507842,31.17748940169637,B3,psnr_verified,0,597,1003,20,20,20,scene
True,bursty,,"{""no_sync"": 66, ""deadline_miss"": 48, ""capacity"": 80}",33.34880007817185,29.702745189463762,31.584923128563254,B4,psnr_verified,0,194,1406,19,19,19,scene
True,bursty,,"{""no_sync"": 18, ""capacity"": 80}",31.346907041094003,27.833568475965418,29.650442100542826,B4t,psnr_verified,0,98,1502,19,19,19,scene
True,bursty,,"{""no_sync"": 3, ""capacity"": 160}",30.293863031101417,26.269832203845557,28.34599113616144,P,psnr_verified,0,163,1437,18,18,18,scene
False,bursty,,{},1.0,1.0,1.0,B0a,availability,0,0,1600,20,20,20,scene
False,bursty,,{},1.0,1.0,1.0,B0a-R,availability,0,0,1600,20,20,20,scene
False,bursty,,"{""no_sync"": 65, ""deadline_miss"": 46, ""capacity"": 80}",0.9387500000000001,0.77875,0.880625,B0d,availability,0,191,1409,20,20,20,scene
False,bursty,,{},1.0,1.0,1.0,B1,availability,0,0,1600,20,20,20,scene
False,bursty,,{},1.0,1.0,1.0,B2,availability,0,0,1600,20,20,20,scene
True,bursty,,"{""no_sync"": 168, ""deadline_miss"": 429}",0.675,0.5718749999999999,0.6268749999999998,B3,availability,0,597,1003,20,20,20,scene
True,bursty,,"{""no_sync"": 66, ""deadline_miss"": 48, ""capacity"": 80}",0.936875,0.7768750000000001,0.8787500000000001,B4,availability,0,194,1406,20,20,20,scene
True,bursty,,"{""no_sync"": 18, ""capacity"": 80}",0.9925,0.836875,0.93875,B4t,availability,0,98,1502,20,20,20,scene
True,bursty,,"{""no_sync"": 3, ""capacity"": 160}",0.99875,0.748125,0.898125,P,availability,0,163,1437,20,20,20,scene
False,bursty,,{},16.03432142505061,14.588471010184902,15.319495803829867,B0a,psnr_displayed,0,0,1600,20,20,20,scene
False,bursty,,{},21.16769723510362,19.388999473021183,20.28276904185849,B0a-R,psnr_displayed,0,0,1600,20,20,20,scene
False,bursty,,"{""no_sync"": 65, ""deadline_miss"": 46, ""capacity"": 80}",25.302095650811253,20.865479591154852,23.115098192522233,B0d,psnr_displayed,0,191,1409,20,20,20,scene
False,bursty,,{},15.938515038093012,14.458609352697172,15.20549566672922,B1,psnr_displayed,0,0,1600,20,20,20,scene
False,bursty,,{},15.931092620391505,14.462580637423864,15.202953858275782,B2,psnr_displayed,0,0,1600,20,20,20,scene
True,bursty,,"{""no_sync"": 168, ""deadline_miss"": 429}",29.07550681454538,24.236787079940363,26.72218959012855,B3,psnr_displayed,0,597,1003,20,20,20,scene
True,bursty,,"{""no_sync"": 66, ""deadline_miss"": 48, ""capacity"": 80}",25.237776668599295,20.82504898827328,23.06137521734489,B4,psnr_displayed,0,194,1406,20,20,20,scene
True,bursty,,"{""no_sync"": 18, ""capacity"": 80}",28.150574648884085,23.536013528911713,25.962841295164786,B4t,psnr_displayed,0,98,1502,20,20,20,scene
True,bursty,,"{""no_sync"": 3, ""capacity"": 160}",26.94370844702815,21.39851057103384,24.30958259738831,P,psnr_displayed,0,163,1437,20,20,20,scene
False,clean,,{},56.95067012168585,53.85150958160049,55.21609654870416,B0a,psnr_full,0,0,1600,20,20,20,scene
False,clean,,{},56.95067012168585,53.85150958160049,55.21609654870416,B0a-R,psnr_full,0,0,1600,20,20,20,scene
False,clean,,"{""capacity"": 80}",33.32365482032115,29.617638183367912,31.53760715533356,B0d,psnr_full,0,80,1520,19,19,19,scene
False,clean,,{},56.95067012168585,53.85150958160049,55.21609654870416,B1,psnr_full,0,0,1600,20,20,20,scene
False,clean,,{},56.95067012168585,53.85150958160049,55.21609654870416,B2,psnr_full,0,0,1600,20,20,20,scene
True,clean,,{},33.02702992780319,29.26511165550549,31.183555513102544,B3,psnr_full,0,0,1600,20,20,20,scene
True,clean,,"{""capacity"": 80}",33.32365482032115,29.617638183367912,31.53760715533356,B4,psnr_full,0,80,1520,19,19,19,scene
True,clean,,"{""capacity"": 80}",31.32162087659719,27.802704016076365,29.62073799795876,B4t,psnr_full,0,80,1520,19,19,19,scene
True,clean,,"{""capacity"": 160}",30.25917559673174,26.24878174490817,28.316649016155488,P,psnr_full,0,160,1440,18,18,18,scene
False,clean,,{},0.9991227950485712,0.997939721473307,0.9985471980340843,B0a,ssim_full,0,0,1600,20,20,20,scene
False,clean,,{},0.9991227950485712,0.997939721473307,0.9985471980340843,B0a-R,ssim_full,0,0,1600,20,20,20,scene
False,clean,,"{""capacity"": 80}",0.9139817148656173,0.8868923425488282,0.9022252791975058,B0d,ssim_full,0,80,1520,19,19,19,scene
False,clean,,{},0.9991227950485712,0.997939721473307,0.9985471980340843,B1,ssim_full,0,0,1600,20,20,20,scene
False,clean,,{},0.9991227950485712,0.997939721473307,0.9985471980340843,B2,ssim_full,0,0,1600,20,20,20,scene
True,clean,,{},0.91339178893017,0.887310387685432,0.9019831178903116,B3,ssim_full,0,0,1600,20,20,20,scene
