axis,channel_value,coverage,method,n_scenes,psnr_full,psnr_full_sd,ssim_full,symbol_errors_pre_fec
burst_len_lines,1.0,1.0,B0a-R,6,31.252678253308872,2.0598748199582704,0.9255969799083443,nan
burst_len_lines,1.0,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.00992602657004831
burst_len_lines,1.0,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.010092657482916148
burst_len_lines,16.0,1.0,B0a-R,6,26.99285443677249,1.9522510586341353,0.8229051799818444,nan
burst_len_lines,16.0,0.9571759259259259,B4,6,32.848082392159625,2.893417855891943,0.9090221294064985,0.10653539797561536
burst_len_lines,16.0,0.9548611111111113,P,6,29.277812078344738,3.0115489435129543,0.8437637328030504,0.10801156581530565
burst_len_lines,2.0,1.0,B0a-R,6,30.97929092750365,1.86108219542747,0.9192558124936591,nan
burst_len_lines,2.0,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.012934566942719114
burst_len_lines,2.0,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0133115124872579
burst_len_lines,24.0,1.0,B0a-R,6,25.24071144008269,1.6872766870850073,0.7706294389282308,nan
burst_len_lines,24.0,0.8807870370370371,B4,6,30.535881944066432,2.8037229458914346,0.8919983706712994,0.1488843329451346
burst_len_lines,24.0,0.9039351851851851,P,6,28.584606090775953,3.0600138439943856,0.8415205421775146,0.15292083144561483
burst_len_lines,32.0,1.0,B0a-R,6,23.597809501225573,1.6565436915908167,0.7187187867595332,nan
burst_len_lines,32.0,0.7719907407407408,B4,6,27.48891482031792,2.783674095237582,0.8792984235564427,0.18239725313434552
burst_len_lines,32.0,0.8726851851851852,P,6,29.14011828576727,3.018735402359868,0.8505437585767592,0.1875458656605127
burst_len_lines,4.0,1.0,B0a-R,6,30.64616167567556,1.9382160758582747,0.9073077694873414,nan
burst_len_lines,4.0,0.9861111111111112,B4,6,33.434683620346384,2.608162979937127,0.9148977164496785,0.029655195033931447
burst_len_lines,4.0,0.9849537037037037,P,6,29.972230247537425,2.9513568664041463,0.8496603102949255,0.03250179333257825
burst_len_lines,48.0,1.0,B0a-R,6,21.770697655332157,2.3392013170908146,0.6391066793428398,nan
burst_len_lines,48.0,0.5810185185185185,B4,6,23.038885840514194,2.831176579963816,0.8381976184875919,0.2385845302795031
burst_len_lines,48.0,0.75,P,6,28.057987451540697,2.810592766036396,0.8452049127899651,0.23969217210329596
burst_len_lines,64.0,1.0,B0a-R,6,19.639467718193885,1.681358883622372,0.5432728497065856,nan
burst_len_lines,64.0,0.38773148148148157,B4,6,20.458465692507243,2.402615180558612,0.8188602833928161,0.2979083994708995
burst_len_lines,64.0,0.5584490740740741,P,6,25.772883015758826,2.2227122540962734,0.841104657690617,0.3060351540378298
burst_len_lines,8.0,1.0,B0a-R,6,29.3150139160949,1.6909864579932696,0.8623277776818802,nan
burst_len_lines,8.0,0.9444444444444445,B4,6,32.02764548664454,2.2261437787821965,0.9087613991295397,0.07480554117782377
burst_len_lines,8.0,0.9490740740740741,P,6,28.98897105550532,2.552069972557266,0.8455889570747098,0.07217175524785743
burst_rate_per_frame,0.0,1.0,B0a-R,6,31.5339412848214,2.0831597323989763,0.9335426440665668,nan
burst_rate_per_frame,0.0,1.0,B4,6,33.85508502268938,2.633330502376292,0.9177653068211185,0.0
burst_rate_per_frame,0.0,1.0,P,6,30.241559729020338,2.8716414897509837,0.8511048216130511,0.0
burst_rate_per_frame,1.0,1.0,B0a-R,6,30.982263215088988,1.9363449133931339,0.920151788462018,nan
burst_rate_per_frame,1.0,0.9907407407407408,B4,6,33.58049151415886,2.491881613334116,0.9174704863021574,0.028204841341729927
burst_rate_per_frame,1.0,0.9884259259259259,P,6,29.962138409308675,2.8574072516597275,0.8502129247947559,0.030948849907501793
burst_rate_per_frame,2.0,1.0,B0a-R,6,29.92253164503471,2.1334185609393246,0.8961411007298228,nan
burst_rate_per_frame,2.0,0.9629629629629629,B4,6,32.712906659844215,2.7202291819443416,0.9091846937767217,0.06541486046411317
