admissible,availability,coverage,delta_availability,delta_availability_hi,delta_availability_lo,delta_availability_significant,delta_coverage,delta_coverage_hi,delta_coverage_lo,delta_coverage_significant,delta_psnr,delta_psnr_displayed,delta_psnr_displayed_hi,delta_psnr_displayed_lo,delta_psnr_displayed_significant,delta_psnr_full,delta_psnr_full_hi,delta_psnr_full_lo,delta_psnr_full_significant,fec_nsym,interleaver,label,max_unit_payload,n_descriptions,n_scenes,n_scenes_available,order,p_raw,psnr_all_scenes,psnr_displayed,psnr_full,psnr_sd,quality,reason,step
True,0.893939393939394,0.6822916666666666,0.0,,,,0.0,,,,,0.0,,,,0.0,,,,,,B4 (база),,,11,14,fwd,,20.64004867392902,22.027650203206264,21.416684106269567,2.8744774344503234,,,0
True,0.8787878787878789,0.6556951349431818,-0.0152,0.0795,-0.1742,False,-0.0266,0.0429,-0.1466,False,0.1398,-0.5134,0.4147,-1.6453,False,0.1398,0.5198,-0.227,False,,,+ менша одиниця 640→320 Б,320,,11,12,fwd,0.46088477880529866,21.27915086488861,21.51424373566227,21.55651616435279,2.9842935312537087,,,1
True,0.9242424242424243,0.8087916518702652,0.0455,0.0795,0.0152,True,0.1531,0.1778,0.1233,True,2.9932,2.5368,3.0342,2.001,True,2.9932,3.408,2.5921,True,128,,+ сильніший FEC nsym 96→128,320,,11,12,fwd,0.00024993751562109475,24.08840736248329,24.05102903832719,24.54970302952113,3.464626881627251,,,2
True,0.9924242424242425,0.8645833333333335,0.0682,0.2045,0.0,False,0.0558,0.178,-0.0095,False,-0.854,-0.2874,0.7867,-0.9814,False,-0.854,-0.5715,-1.139,True,128,,+ нижча якість 12→8,320,,11,14,fwd,0.00024993751562109475,23.073665551883426,23.763598466514694,23.695726210950685,3.3155077395136057,8,,3
True,1.0,0.8664772727272726,0.0076,0.0189,0.0,False,0.0019,0.0114,-0.0078,False,-0.3354,-0.4033,-0.0049,-0.7439,True,-0.3354,0.0975,-0.6969,False,128,,+ два описи (MDC),320,2,11,14,fwd,0.10197450637340665,22.679046979199665,23.36029152951122,23.36029152951122,3.7592742803811596,8,,4
True,1.0,0.8098958333333333,0.0,0.0,0.0,False,-0.0566,-0.0483,-0.0661,True,0.3152,0.3152,0.4791,0.1643,True,0.3152,0.4791,0.1643,True,128,bawp/0/8,+ BAWP = P,320,2,11,14,fwd,0.00024993751562109475,22.966211444114016,23.675454838077997,23.675454838077997,3.7863461380811527,8,,5
True,0.893939393939394,0.6822916666666666,0.0,,,,0.0,,,,,0.0,,,,0.0,,,,,,B4 (база),,,11,14,rev,,20.64004867392902,22.027650203206264,21.416684106269567,2.8744774344503234,,,0
False,0.0,,,,,,,,,,,,,,,,,,,,,+ два описи (MDC),,2,,,rev,,,,,,,"жоден запланований момент не дав картинки (capacityx336): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",1
False,0.0,,,,,,,,,,,,,,,,,,,,bawp/0/8,+ BAWP,,2,,,rev,,,,,,,"жоден запланований момент не дав картинки (capacityx336): frame 0 needs 4 rasters, the profile allows 3; lower the quality/resolution or raise the capacity",2
True,0.8674242424242425,0.5603693181818182,-0.0265,0.1174,-0.2197,False,-0.1219,-0.0272,-0.2539,True,1.4823,0.3862,1.6693,-1.2218,False,1.4823,2.4786,0.4911,True,,bawp/0/8,+ менша одиниця 640→320 Б,320,2,11,11,rev,0.0034991252186953262,22.89896495289577,22.413881046715332,22.89896495289577,3.976817804474897,,,3
True,0.875,0.7086884469696969,0.0076,0.0189,0.0,False,0.1483,0.178,0.1152,True,1.5706,1.2859,1.7,0.9265,True,1.5706,2.0705,1.1113,True,128,bawp/0/8,+ сильніший FEC nsym 96→128,320,2,11,11,rev,0.00024993751562109475,24.469612234816335,23.699781570499013,24.469612234816335,4.021519434332924,,,4
True,1.0,0.8098958333333333,0.125,0.2955,0.0,False,0.1012,0.2414,-0.0018,False,-0.7942,-0.0243,1.132,-0.8817,False,-0.7942,-0.528,-1.0627,True,128,bawp/0/8,+ нижча якість 12→8 = P,320,2,11,14,rev,0.00024993751562109475,22.966211444114016,23.675454838077997,23.675454838077997,3.7863461380811527,8,,5
