channel,method,n_deadline_miss,n_failed,n_no_sync,n_observations,n_ok
bursty,B0a,,0,,1120,1120
bursty,B0a-R,,0,,1120,1120
bursty,B0d,43,79,36,1120,1041
bursty,B1,,0,,1120,1120
bursty,B2,,0,,1120,1120
bursty,B3,344,510,166,1120,610
bursty,B4,47,84,37,1120,1036
bursty,B4t,,10,10,1120,1110
bursty,P,,2,2,1120,1118
clean,B0a,,0,,1120,1120
clean,B0a-R,,0,,1120,1120
clean,B0d,,0,,1120,1120
clean,B1,,0,,1120,1120
clean,B2,,0,,1120,1120
clean,B3,,0,,1120,1120
clean,B4,,0,,1120,1120
clean,B4t,,0,,1120,1120
clean,P,,0,,1120,1120
harsh,B0a,,47,47,1120,1073
harsh,B0a-R,,0,,1120,1120
harsh,B0d,872,1120,248,1120,
harsh,B1,,47,47,1120,1073
harsh,B2,,47,47,1120,1073
harsh,B3,934,1120,186,1120,
harsh,B4,872,1120,248,1120,
harsh,B4t,864,1120,256,1120,
harsh,P,785,1120,335,1120,
mild,B0a,,0,,1120,1120
mild,B0a-R,,0,,1120,1120
mild,B0d,,0,,1120,1120
mild,B1,,0,,1120,1120
mild,B2,,0,,1120,1120
mild,B3,,0,,1120,1120
mild,B4,,0,,1120,1120
mild,B4t,,0,,1120,1120
mild,P,,0,,1120,1120
moderate,B0a,,0,,1120,1120
moderate,B0a-R,,0,,1120,1120
moderate,B0d,6,7,1,1120,1113
moderate,B1,,0,,1120,1120
moderate,B2,,0,,1120,1120
moderate,B3,269,297,28,1120,823
moderate,B4,9,11,2,1120,1109
moderate,B4t,,0,,1120,1120
moderate,P,,0,,1120,1120
