authenticated,channel,hi,lo,mean,method,metric,n_scenes
False,clean,0.9991275457843068,0.9983582028045102,0.9987910898415256,B0a,ssim_full,14
False,mild,0.9261788128253051,0.8991897306128483,0.9129834502904357,B0a,ssim_full,14
False,moderate,0.6793721554399793,0.6106562144127842,0.6464390529011379,B0a,ssim_full,14
False,bursty,0.5751705759495443,0.5360997059491708,0.556300005088365,B0a,ssim_full,14
False,harsh,0.3541006633324475,0.2766565761083528,0.31709257056054774,B0a,ssim_full,14
False,clean,0.9991275457843068,0.9983582028045102,0.9987910898415256,B0a-R,ssim_full,14
False,mild,0.9401914112822602,0.9137453125706233,0.9279172480213758,B0a-R,ssim_full,14
False,moderate,0.7713084917352551,0.7231560913480074,0.747244998185219,B0a-R,ssim_full,14
False,bursty,0.7187862156860814,0.6779302794533472,0.6991675290585565,B0a-R,ssim_full,14
False,harsh,0.4615842253371266,0.3730774272948025,0.419426427702437,B0a-R,ssim_full,14
False,clean,0.8117136752912876,0.7431478092682785,0.778137675101455,B0d,ssim_full,14
False,mild,0.8117136752912876,0.7431478092682785,0.778137675101455,B0d,ssim_full,14
False,moderate,0.7616851226098208,0.6810335998698775,0.7194093926537565,B0d,ssim_full,14
False,bursty,0.7033576966214449,0.602573032159064,0.6496430403773771,B0d,ssim_full,14
False,harsh,nan,nan,nan,B0d,ssim_full,0
False,clean,0.9991275457843068,0.9983582028045102,0.9987910898415256,B1,ssim_full,14
False,mild,0.8788032612177095,0.8417463149931165,0.8607442882217732,B1,ssim_full,14
False,moderate,0.6175395274367874,0.5425268222217469,0.581628193794742,B1,ssim_full,14
False,bursty,0.5127244955110529,0.46343778726488627,0.488138281637727,B1,ssim_full,14
False,harsh,0.3092953478992888,0.2359639419535934,0.2737929690414583,B1,ssim_full,14
False,clean,0.9991275457843068,0.9983582028045102,0.9987910898415256,B2,ssim_full,14
False,mild,0.8791719275783596,0.8417113635628496,0.8609162513246993,B2,ssim_full,14
False,moderate,0.6184429752149415,0.5426400410575444,0.5823202350052531,B2,ssim_full,14
False,bursty,0.5122195514257619,0.4625357543394076,0.4873276734489847,B2,ssim_full,14
False,harsh,0.310934136468208,0.23691918619263944,0.27506133328797633,B2,ssim_full,14
True,clean,0.8117136752912876,0.7431478092682785,0.778137675101455,B3,ssim_full,14
True,mild,0.8117136752912876,0.7431478092682785,0.778137675101455,B3,ssim_full,14
True,moderate,0.8116557761880075,0.7431188700978325,0.7780801483001131,B3,ssim_full,14
True,bursty,0.8115525901335456,0.7430584932420774,0.7779943524111977,B3,ssim_full,14
True,harsh,nan,nan,nan,B3,ssim_full,0
True,clean,0.8117136752912876,0.7431478092682785,0.778137675101455,B4,ssim_full,14
True,mild,0.8117136752912876,0.7431478092682785,0.778137675101455,B4,ssim_full,14
True,moderate,0.7553013313392515,0.675859188681292,0.7131999180664613,B4,ssim_full,14
True,bursty,0.7040602119595373,0.6038358677108873,0.6503595636965304,B4,ssim_full,14
True,harsh,nan,nan,nan,B4,ssim_full,0
True,clean,0.7054034297939472,0.6080397972299221,0.6548131965224426,P,ssim_full,14
True,mild,0.7054034297939472,0.6080397972299221,0.6548131965224426,P,ssim_full,14
True,moderate,0.6990325199024304,0.6007654623134705,0.647623313728679,P,ssim_full,14
True,bursty,0.6718819163735649,0.5674707505804908,0.6157676365526376,P,ssim_full,14
True,harsh,nan,nan,nan,P,ssim_full,0
True,clean,0.7646118952450093,0.6830452257488334,0.723909502208106,B4t,ssim_full,14
True,mild,0.7646118952450093,0.6830452257488334,0.723909502208106,B4t,ssim_full,14
True,moderate,0.7555558853851497,0.6729802603510023,0.7139154127194572,B4t,ssim_full,14
True,bursty,0.7115686532908447,0.6228738242017523,0.6648410437141318,B4t,ssim_full,14
True,harsh,nan,nan,nan,B4t,ssim_full,0
