authenticated,availability,channel,criterion,method,n_scenes,n_scheduled_instants,n_units,not_operable_because,operable_fraction,sd_over_scenes,sd_over_units,unit_of_independence
False,1.0,clean,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B0a,14,1120,14,{},1.0,0.0,0.0,source
False,1.0,mild,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B0a,14,1120,14,{},1.0,0.0,0.0,source
False,1.0,moderate,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B0a,14,1120,14,"{""below_criterion"": 178}",0.8410714285714286,0.08680057983297496,0.08680057983297496,source
False,1.0,bursty,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B0a,14,1120,14,"{""below_criterion"": 1015}",0.09374999999999999,0.08067473868280245,0.08067473868280245,source
False,0.9580357142857142,harsh,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B0a,14,1120,14,"{""below_criterion"": 1063, ""no_sync"": 47}",0.008928571428571428,0.020468415765663057,0.020468415765663057,source
False,1.0,clean,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B0a-R,14,1120,14,{},1.0,0.0,0.0,source
False,1.0,mild,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B0a-R,14,1120,14,{},1.0,0.0,0.0,source
False,1.0,moderate,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B0a-R,14,1120,14,"{""below_criterion"": 3}",0.9973214285714287,0.005322691420328982,0.005322691420328982,source
False,1.0,bursty,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B0a-R,14,1120,14,"{""below_criterion"": 440}",0.6071428571428571,0.12894862253140688,0.12894862253140688,source
False,1.0,harsh,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B0a-R,14,1120,14,"{""below_criterion"": 896}",0.2,0.23339056074776,0.23339056074776,source
False,1.0,clean,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B0d,14,1120,14,{},1.0,0.0,0.0,source
False,1.0,mild,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B0d,14,1120,14,{},1.0,0.0,0.0,source
False,0.9937500000000002,moderate,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B0d,14,1120,14,"{""below_criterion"": 319, ""deadline_miss"": 6, ""no_sync"": 1}",0.7089285714285715,0.0912557389434215,0.0912557389434215,source
False,0.9294642857142857,bursty,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B0d,14,1120,14,"{""below_criterion"": 564, ""deadline_miss"": 43, ""no_sync"": 36}",0.4258928571428572,0.07078955229612428,0.07078955229612428,source
False,0.0,harsh,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B0d,14,1120,14,"{""no_sync"": 248, ""deadline_miss"": 872}",0.0,0.0,0.0,source
False,1.0,clean,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B1,14,1120,14,{},1.0,0.0,0.0,source
False,1.0,mild,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B1,14,1120,14,{},1.0,0.0,0.0,source
False,1.0,moderate,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B1,14,1120,14,"{""below_criterion"": 305}",0.7276785714285714,0.13903674211999018,0.13903674211999018,source
False,1.0,bursty,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B1,14,1120,14,"{""below_criterion"": 1020}",0.08928571428571427,0.08143206566630444,0.08143206566630444,source
False,0.9580357142857142,harsh,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B1,14,1120,14,"{""below_criterion"": 1073, ""no_sync"": 47}",0.0,0.0,0.0,source
False,1.0,clean,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B2,14,1120,14,{},1.0,0.0,0.0,source
False,1.0,mild,coverage>=0.9 and psnr_full>=20.0 on every scheduled display instant (engineering requirement of this study),B2,14,1120,14,{},1.0,0.0,0.0,source
