channel,diff_P_minus_B4,scene
clean,-2.9697908642815953,natural:105627169
clean,-2.7646059253998843,natural:106651461
clean,-2.6568082798967367,natural:108911529
clean,-2.6369193833621267,natural:116466520
clean,-2.633671498687157,natural:122435702
clean,-2.461846529445829,natural:123079448
clean,-2.352924380000026,natural:123689542
clean,-2.335063593371384,natural:132645039
clean,-2.23903608116634,natural:144041236
clean,-2.2339369662737667,natural:74983792
clean,-2.194402779758022,natural:81047795
clean,-2.0296606162710944,natural:97165575
clean,-2.0037881487420997,natural:98913003
clean,-1.9448292783172931,natural:99599833
mild,-2.9697908642815953,natural:105627169
mild,-2.7646059253998843,natural:106651461
mild,-2.6568082798967367,natural:108911529
mild,-2.6369193833621267,natural:116466520
mild,-2.633671498687157,natural:122435702
mild,-2.461846529445829,natural:123079448
mild,-2.352924380000026,natural:123689542
mild,-2.335063593371384,natural:132645039
mild,-2.23903608116634,natural:144041236
mild,-2.2339369662737667,natural:74983792
mild,-2.194402779758022,natural:81047795
mild,-2.0296606162710944,natural:97165575
mild,-2.0037881487420997,natural:98913003
mild,-1.9448292783172931,natural:99599833
moderate,-1.0099323870532935,natural:105627169
moderate,-0.8580511163744795,natural:106651461
moderate,-0.6834308489079994,natural:108911529
moderate,-0.3644373502462521,natural:116466520
moderate,-0.11377760476317178,natural:122435702
moderate,-0.07610042077940093,natural:123079448
moderate,0.04291086021427404,natural:123689542
moderate,0.35767317467252724,natural:132645039
moderate,0.49135840926733465,natural:144041236
moderate,0.6498264994321872,natural:74983792
moderate,0.874469093487086,natural:81047795
moderate,0.9861203418731357,natural:97165575
moderate,1.0361518593243808,natural:98913003
moderate,1.1297923862213466,natural:99599833
bursty,-0.36356307501992546,natural:105627169
bursty,0.7776367691434416,natural:106651461
bursty,1.6059426451295487,natural:108911529
bursty,1.6696862391013383,natural:116466520
bursty,1.8399934615467544,natural:122435702
bursty,1.9357316295558817,natural:123079448
bursty,1.998499917924697,natural:123689542
bursty,2.0582195161391326,natural:132645039
bursty,2.0982035540215804,natural:144041236
bursty,2.3697804312717636,natural:74983792
bursty,2.604032275846322,natural:81047795
bursty,2.7542192052798526,natural:97165575
bursty,2.9496282569330923,natural:98913003
bursty,3.719629095066722,natural:99599833
harsh,0.0,natural:105627169
harsh,0.0,natural:106651461
harsh,0.0,natural:108911529
harsh,0.0,natural:116466520
harsh,0.0,natural:122435702
harsh,0.0,natural:123079448
harsh,0.0,natural:123689542
harsh,0.0,natural:132645039
harsh,0.0,natural:144041236
harsh,0.0,natural:74983792
harsh,0.0,natural:81047795
harsh,0.0,natural:97165575
harsh,0.0,natural:98913003
harsh,0.0,natural:99599833
