channel,hi,lo,method,payload_bitrate_bps,psnr_full
clean,28.797203240366393,25.458886620531505,B0d,512000.0,26.92039112214247
clean,28.797203240366393,25.458886620531505,B3,512000.0,26.92039112214247
clean,28.797203240366393,25.458886620531505,B4,512000.0,26.92039112214247
clean,27.456128455800187,24.330523341231462,B4t,384000.0,25.706689350590676
clean,26.399769274479294,23.053065483520857,P,384000.0,24.530585098930086
mild,28.797203240366393,25.458886620531505,B0d,512000.0,26.92039112214247
mild,28.797203240366393,25.458886620531505,B3,512000.0,26.92039112214247
mild,28.797203240366393,25.458886620531505,B4,512000.0,26.92039112214247
mild,27.456128455800187,24.330523341231462,B4t,384000.0,25.706689350590676
mild,26.399769274479294,23.053065483520857,P,384000.0,24.530585098930086
moderate,26.710058735785548,22.87604443289874,B0d,512000.0,24.59911240673612
moderate,28.800655877589335,25.460380617821485,B3,512000.0,26.922245973810476
moderate,25.99657305094633,22.66198895129405,B4,512000.0,24.17273922342755
moderate,27.001539643923003,23.865652237468044,B4t,384000.0,25.266102351425037
moderate,26.149762733445506,22.737237048960854,P,384000.0,24.249569075985374
bursty,23.159049256703437,20.1666295494549,B0d,512000.0,21.502426063332333
bursty,28.799478757937106,25.459101029465735,B3,512000.0,26.91837169270809
bursty,23.24856491069314,20.152171808723224,B4,512000.0,21.544818184175927
bursty,24.897207410693447,21.87947021256949,B4t,384000.0,23.204282192669773
bursty,24.751198522144517,21.327141110523915,P,384000.0,22.849027665943954
harsh,nan,nan,B0d,512000.0,nan
harsh,nan,nan,B3,512000.0,nan
harsh,nan,nan,B4,512000.0,nan
harsh,nan,nan,B4t,384000.0,nan
harsh,nan,nan,P,384000.0,nan
