channel,hi,latency_s,lo,method,psnr_full
clean,28.797203240366393,0.15861111111111112,25.458886620531505,B0d,26.92039112214247
clean,28.797203240366393,0.15861111111111112,25.458886620531505,B3,26.92039112214247
clean,28.797203240366393,0.15861111111111112,25.458886620531505,B4,26.92039112214247
clean,27.456128455800187,0.15861111111111112,24.330523341231462,B4t,25.706689350590676
clean,26.399769274479294,0.15861111111111112,23.053065483520857,P,24.530585098930086
mild,28.797203240366393,0.15861111111111112,25.458886620531505,B0d,26.92039112214247
mild,28.797203240366393,0.15861111111111112,25.458886620531505,B3,26.92039112214247
mild,28.797203240366393,0.15861111111111112,25.458886620531505,B4,26.92039112214247
mild,27.456128455800187,0.15861111111111112,24.330523341231462,B4t,25.706689350590676
mild,26.399769274479294,0.15861111111111112,23.053065483520857,P,24.530585098930086
moderate,26.710058735785548,0.15861111111111112,22.87604443289874,B0d,24.59911240673612
moderate,28.800655877589335,0.15861111111111112,25.460380617821485,B3,26.922245973810476
moderate,25.99657305094633,0.15861111111111112,22.66198895129405,B4,24.17273922342755
moderate,27.001539643923003,0.15861111111111112,23.865652237468044,B4t,25.266102351425037
moderate,26.149762733445506,0.15861111111111112,22.737237048960854,P,24.249569075985374
bursty,23.159049256703437,0.15861111111111112,20.1666295494549,B0d,21.502426063332333
bursty,28.799478757937106,0.15861111111111112,25.459101029465735,B3,26.91837169270809
bursty,23.24856491069314,0.15861111111111112,20.152171808723224,B4,21.544818184175927
bursty,24.897207410693447,0.15861111111111112,21.87947021256949,B4t,23.204282192669773
bursty,24.751198522144517,0.15861111111111112,21.327141110523915,P,22.849027665943954
harsh,nan,0.15861111111111112,nan,B0d,nan
harsh,nan,0.15861111111111112,nan,B3,nan
harsh,nan,0.15861111111111112,nan,B4,nan
harsh,nan,0.15861111111111112,nan,B4t,nan
harsh,nan,0.15861111111111112,nan,P,nan
