channel,hi,lo,logical_kb,method,psnr_full
clean,28.797203240366393,25.458886620531505,68.25,B0d,26.92039112214247
clean,28.797203240366393,25.458886620531505,68.25,B3,26.92039112214247
clean,28.797203240366393,25.458886620531505,68.25,B4,26.92039112214247
clean,27.456128455800187,24.330523341231462,68.49,B4t,25.706689350590676
clean,26.399769274479294,23.053065483520857,68.49,P,24.530585098930086
mild,28.797203240366393,25.458886620531505,68.25,B0d,26.92039112214247
mild,28.797203240366393,25.458886620531505,68.25,B3,26.92039112214247
mild,28.797203240366393,25.458886620531505,68.25,B4,26.92039112214247
mild,27.456128455800187,24.330523341231462,68.49,B4t,25.706689350590676
mild,26.399769274479294,23.053065483520857,68.49,P,24.530585098930086
moderate,26.710058735785548,22.87604443289874,68.25,B0d,24.59911240673612
moderate,28.800655877589335,25.460380617821485,68.25,B3,26.922245973810476
moderate,25.99657305094633,22.66198895129405,68.25,B4,24.17273922342755
moderate,27.001539643923003,23.865652237468044,68.49,B4t,25.266102351425037
moderate,26.149762733445506,22.737237048960854,68.49,P,24.249569075985374
bursty,23.159049256703437,20.1666295494549,68.25,B0d,21.502426063332333
bursty,28.799478757937106,25.459101029465735,68.25,B3,26.91837169270809
bursty,23.24856491069314,20.152171808723224,68.25,B4,21.544818184175927
bursty,24.897207410693447,21.87947021256949,68.49,B4t,23.204282192669773
bursty,24.751198522144517,21.327141110523915,68.49,P,22.849027665943954
harsh,nan,nan,68.25,B0d,nan
harsh,nan,nan,68.25,B3,nan
harsh,nan,nan,68.25,B4,nan
harsh,nan,nan,68.49,B4t,nan
harsh,nan,nan,68.49,P,nan
