channel,channel_axis,channel_value,clip,clip_hash,config_id,detail,job_id,method,n_frames,n_frames_done,profile_id,repetition,scene,status,trace_id,wall_s
clean,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,e861e12fd1da691e,B0a,16,16,7fe30b1136,0,natural:74983792,ok,clean|nat_074983792|clean|rep0|seed20240909,0.6588
clean,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,b44d2f986830b749,B0a,16,16,7fe30b1136,1,natural:74983792,ok,clean|nat_074983792|clean|rep1|seed20240909,0.695
clean,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,fcdc13c47f532393,B0a,16,16,7fe30b1136,2,natural:74983792,ok,clean|nat_074983792|clean|rep2|seed20240909,0.7041
clean,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,751757997fad972d,B0a,16,16,7fe30b1136,3,natural:74983792,ok,clean|nat_074983792|clean|rep3|seed20240909,0.669
clean,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,440fc4dd07629315,B0a,16,16,7fe30b1136,4,natural:74983792,ok,clean|nat_074983792|clean|rep4|seed20240909,0.67
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,73d4f9ad3f3eea4d,B0a,16,16,7fe30b1136,0,natural:74983792,ok,mild|nat_074983792|mild|rep0|seed20240909,0.7902
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,c6fad826c86174f9,B0a,16,16,7fe30b1136,4,natural:74983792,ok,mild|nat_074983792|mild|rep4|seed20240909,0.5693
moderate,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,3b2707215e69e786,B0a,16,16,7fe30b1136,1,natural:74983792,ok,moderate|nat_074983792|moderate|rep1|seed20240909,0.636
moderate,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,b9c15b2cb28aff5b,B0a,16,16,7fe30b1136,2,natural:74983792,ok,moderate|nat_074983792|moderate|rep2|seed20240909,0.587
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,3cc4a2eb90341990,B0a,16,16,7fe30b1136,2,natural:74983792,ok,mild|nat_074983792|mild|rep2|seed20240909,0.824
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,8b840eaf845f5cba,B0a,16,16,7fe30b1136,1,natural:74983792,ok,mild|nat_074983792|mild|rep1|seed20240909,0.8687
moderate,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,b2288ce98546fe5a,B0a,16,16,7fe30b1136,3,natural:74983792,ok,moderate|nat_074983792|moderate|rep3|seed20240909,0.5593
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,0496636c31911071,B0a,16,16,7fe30b1136,3,natural:74983792,ok,mild|nat_074983792|mild|rep3|seed20240909,0.8343
bursty,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,9adb48c19a48b960,B0a,16,16,7fe30b1136,0,natural:74983792,ok,bursty|nat_074983792|bursty|rep0|seed20240909,0.546
moderate,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,f6c0b8cecc357cc9,B0a,16,16,7fe30b1136,0,natural:74983792,ok,moderate|nat_074983792|moderate|rep0|seed20240909,0.9004
bursty,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,ef3cadf87d5eea55,B0a,16,16,7fe30b1136,4,natural:74983792,ok,bursty|nat_074983792|bursty|rep4|seed20240909,0.6009
harsh,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,ffcf50d191b29ae6,B0a,16,16,7fe30b1136,0,natural:74983792,ok,harsh|nat_074983792|harsh|rep0|seed20240909,0.6016
moderate,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,181db90534a7dafd,B0a,16,16,7fe30b1136,4,natural:74983792,ok,moderate|nat_074983792|moderate|rep4|seed20240909,0.9786
bursty,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,92b3c1bcca4a35d7,B0a,16,16,7fe30b1136,1,natural:74983792,ok,bursty|nat_074983792|bursty|rep1|seed20240909,0.9398
bursty,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,d916cc7a1fa5a72d,B0a,16,16,7fe30b1136,2,natural:74983792,ok,bursty|nat_074983792|bursty|rep2|seed20240909,0.8593
harsh,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,39f0bc65a8f2a8a3,B0a,16,16,7fe30b1136,4,natural:74983792,ok,harsh|nat_074983792|harsh|rep4|seed20240909,0.5904
harsh,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,2c2a608940d65d40,B0a,16,16,7fe30b1136,3,natural:74983792,ok,harsh|nat_074983792|harsh|rep3|seed20240909,0.6211
bursty,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,bfbd882fe1a7007e,B0a,16,16,7fe30b1136,3,natural:74983792,ok,bursty|nat_074983792|bursty|rep3|seed20240909,0.9178
harsh,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,3f6f60fe75f0d061,B0a,16,16,7fe30b1136,2,natural:74983792,ok,harsh|nat_074983792|harsh|rep2|seed20240909,0.7233
harsh,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,1c7f670810c78a88,B0a,16,16,7fe30b1136,1,natural:74983792,ok,harsh|nat_074983792|harsh|rep1|seed20240909,0.985
clean,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,f37b78212578bd9c,B0a-R,16,16,7fe30b1136,0,natural:74983792,ok,clean|nat_074983792|clean|rep0|seed20240909,1.1438
clean,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,e91471936014fbdd,B0a-R,16,16,7fe30b1136,2,natural:74983792,ok,clean|nat_074983792|clean|rep2|seed20240909,1.1788
clean,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,591aec43772fdf2d,B0a-R,16,16,7fe30b1136,4,natural:74983792,ok,clean|nat_074983792|clean|rep4|seed20240909,1.1613
clean,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,c5e897d09fcf18e2,B0a-R,16,16,7fe30b1136,1,natural:74983792,ok,clean|nat_074983792|clean|rep1|seed20240909,1.2521
clean,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,10f828d818ce046d,B0a-R,16,16,7fe30b1136,3,natural:74983792,ok,clean|nat_074983792|clean|rep3|seed20240909,1.6064
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,98b92f746860bc77,B0a-R,16,16,7fe30b1136,0,natural:74983792,ok,mild|nat_074983792|mild|rep0|seed20240909,1.6711
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,e509fe015851426f,B0a-R,16,16,7fe30b1136,3,natural:74983792,ok,mild|nat_074983792|mild|rep3|seed20240909,1.5804
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,b20f083f61854902,B0a-R,16,16,7fe30b1136,1,natural:74983792,ok,mild|nat_074983792|mild|rep1|seed20240909,1.751
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,7f1fa90000efd5cb,B0a-R,16,16,7fe30b1136,2,natural:74983792,ok,mild|nat_074983792|mild|rep2|seed20240909,1.8384
mild,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,5387d018be6d9200,B0a-R,16,16,7fe30b1136,4,natural:74983792,ok,mild|nat_074983792|mild|rep4|seed20240909,1.7593
moderate,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,90d29cef22c6c496,B0a-R,16,16,7fe30b1136,0,natural:74983792,ok,moderate|nat_074983792|moderate|rep0|seed20240909,1.9964
moderate,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,e0100c68cb86fcbd,B0a-R,16,16,7fe30b1136,2,natural:74983792,ok,moderate|nat_074983792|moderate|rep2|seed20240909,1.9294
moderate,,nan,nat_074983792,687c1bd33174f99d40446435a85256d5a4f410297bf9506964222eb061c3dec7,ce437da4856845a9,,8233cd62274c2e57,B0a-R,16,16,7fe30b1136,1,natural:74983792,ok,moderate|nat_074983792|moderate|rep1|seed20240909,1.9747
