a,b,channel,diffs,equivalence_hi90,equivalence_lo90,equivalence_margin,equivalence_verdict,equivalent,family_label,hi,holm_note,in_family,is_primary,lo,mean,method,metric,n_boot,n_diffs,n_scenes,n_scenes_dropped,n_units,n_units_dropped,p_bootstrap,p_holm,p_raw,p_source,p_wilcoxon,scenes_only_in_a,scenes_only_in_b,significant_at_95,significant_holm,unit_of_independence,units,units_only_in_a,units_only_in_b
B0a,B0a-R,bursty,-5.631036;-5.525488;-4.512211;-6.017879;-5.037017;-5.132283;-4.720419;-4.390432;-4.903032;-5.518583;-4.867941;-4.680153;-5.045517;-5.610793,-4.909268449278528,-5.318337105913301,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-5.32; -4.91]): різниця просто не встановлена,False,exploratory,-4.86996042706169,поза наперед оголошеною сім'єю; не коригується,False,False,-5.358008045298695,-5.1137701789916585,paired cluster bootstrap over sources,psnr_full,10000,14,14,0,14,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",0.0001220703125,,,True,False,source,commons:105627169;commons:106651461;commons:108911529;commons:116466520;commons:122435702;commons:123079448;commons:123689542;commons:132645039;commons:144041236;commons:74983792;commons:81047795;commons:97165575;commons:98913003;commons:99599833,,
B0a,B0d,bursty,-11.568875;-8.228299;-5.574919;-9.264069;-2.181515;-5.678160;-3.951795;-3.022103;-6.585766;-4.182284;-4.891728;-6.334453;-3.059704;-6.166998,-4.688961261962277,-6.906668263089789,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-6.91; -4.69]): різниця просто не встановлена,False,exploratory,-4.514385039194874,поза наперед оголошеною сім'єю; не коригується,False,False,-7.134018803225547,-5.763619165095404,paired cluster bootstrap over sources,psnr_full,10000,14,14,0,14,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",0.0001220703125,,,True,False,source,commons:105627169;commons:106651461;commons:108911529;commons:116466520;commons:122435702;commons:123079448;commons:123689542;commons:132645039;commons:144041236;commons:74983792;commons:81047795;commons:97165575;commons:98913003;commons:99599833,,
B0a,B1,bursty,0.026771;0.115311;0.264077;0.293452;0.143003;0.038002;0.047002;0.145273;0.019161;0.019834;0.099880;0.143425;0.097443;0.171373,0.1539548903475949,0.08101573717672604,0.5,еквівалентність у межах ±0.5 показана (90% CI [+0.08; +0.15]),True,exploratory,0.16151962366942185,поза наперед оголошеною сім'єю; не коригується,False,False,0.07515949964684318,0.11600038588066688,paired cluster bootstrap over sources,psnr_full,10000,14,14,0,14,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",0.0001220703125,,,True,False,source,commons:105627169;commons:106651461;commons:108911529;commons:116466520;commons:122435702;commons:123079448;commons:123689542;commons:132645039;commons:144041236;commons:74983792;commons:81047795;commons:97165575;commons:98913003;commons:99599833,,
B0a,B2,bursty,0.136165;0.181219;0.310868;0.275123;0.106131;0.018857;0.060253;0.197717;0.166767;0.021779;0.148788;0.130247;0.159754;0.022222,0.1765222451902903,0.10085086537173532,0.5,еквівалентність у межах ±0.5 показана (90% CI [+0.10; +0.18]),True,exploratory,0.18387093597746265,поза наперед оголошеною сім'єю; не коригується,False,False,0.0943173995782373,0.13827781181748872,paired cluster bootstrap over sources,psnr_full,10000,14,14,0,14,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",0.0001220703125,,,True,False,source,commons:105627169;commons:106651461;commons:108911529;commons:116466520;commons:122435702;commons:123079448;commons:123689542;commons:132645039;commons:144041236;commons:74983792;commons:81047795;commons:97165575;commons:98913003;commons:99599833,,
B0a,B3,bursty,-18.604163;-13.418031;-11.650396;-14.646851;-7.881869;-11.213692;-9.065688;-9.754048;-10.517886;-8.975005;-7.718724;-10.989101;-9.319415;-12.759038,-9.996322020498805,-12.509217403182744,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-12.51; -10.00]): різниця просто не встановлена,False,exploratory,-9.80865999033778,поза наперед оголошеною сім'єю; не коригується,False,False,-12.789482507392524,-11.179564794471153,paired cluster bootstrap over sources,psnr_full,10000,14,14,0,14,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",0.0001220703125,,,True,False,source,commons:105627169;commons:106651461;commons:108911529;commons:116466520;commons:122435702;commons:123079448;commons:123689542;commons:132645039;commons:144041236;commons:74983792;commons:81047795;commons:97165575;commons:98913003;commons:99599833,,
B0a,B4,bursty,-11.782257;-8.586209;-5.642131;-9.416621;-2.148068;-5.659771;-3.854161;-2.821920;-6.693251;-4.356129;-4.841935;-6.276663;-2.890539;-6.314502,-4.688434578244216,-6.997299209012363,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-7.00; -4.69]): різниця просто не встановлена,False,exploratory,-4.491211929762617,поза наперед оголошеною сім'єю; не коригується,False,False,-7.235436065830493,-5.806011285938992,paired cluster bootstrap over sources,psnr_full,10000,14,14,0,14,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",0.0001220703125,,,True,False,source,commons:105627169;commons:106651461;commons:108911529;commons:116466520;commons:122435702;commons:123079448;commons:123689542;commons:132645039;commons:144041236;commons:74983792;commons:81047795;commons:97165575;commons:98913003;commons:99599833,,
B0a,B4t,bursty,-13.707683;-9.882546;-7.892505;-10.544399;-3.902396;-8.150610;-5.899723;-5.334620;-7.156077;-6.579500;-4.873321;-7.860673;-5.130796;-7.601805,-6.401435999428194,-8.626876881864325,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-8.63; -6.40]): різниця просто не встановлена,False,exploratory,-6.218744654103382,поза наперед оголошеною сім'єю; не коригується,False,False,-8.856999047242569,-7.465475294432841,paired cluster bootstrap over sources,psnr_full,10000,14,14,0,14,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",0.0001220703125,,,True,False,source,commons:105627169;commons:106651461;commons:108911529;commons:116466520;commons:122435702;commons:123079448;commons:123689542;commons:132645039;commons:144041236;commons:74983792;commons:81047795;commons:97165575;commons:98913003;commons:99599833,,
B0a,P,bursty,-14.276317;-10.104328;-7.546737;-11.310641;-3.692747;-7.561763;-4.556414;-4.578678;-7.022922;-5.789751;-4.044424;-7.162780;-4.654429;-7.241157,-5.8768464779235,-8.473070639434546,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-8.47; -5.88]): різниця просто не встановлена,False,exploratory,-5.660142055010217,поза наперед оголошеною сім'єю; не коригується,False,False,-8.744534888253115,-7.110220767707022,paired cluster bootstrap over sources,psnr_full,10000,14,14,0,14,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",0.0001220703125,,,True,False,source,commons:105627169;commons:106651461;commons:108911529;commons:116466520;commons:122435702;commons:123079448;commons:123689542;commons:132645039;commons:144041236;commons:74983792;commons:81047795;commons:97165575;commons:98913003;commons:99599833,,
B0a-R,B0d,bursty,-5.937839;-2.702811;-1.062708;-3.246190;2.855502;-0.545877;0.768624;1.368329;-1.682734;1.336299;-0.023787;-1.654300;1.985813;-0.556205,0.32770127432148466,-1.6850719599582578,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-1.69; +0.33]): різниця просто не встановлена,False,exploratory,0.4841849475117879,поза наперед оголошеною сім'єю; не коригується,False,False,-1.8908851176463257,-0.6498489861037451,paired cluster bootstrap over sources,psnr_full,10000,14,14,0,14,0,0.28347165283471654,nan,0.28347165283471654,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",0.42626953125,,,False,False,source,commons:105627169;commons:106651461;commons:108911529;commons:116466520;commons:122435702;commons:123079448;commons:123689542;commons:132645039;commons:144041236;commons:74983792;commons:81047795;commons:97165575;commons:98913003;commons:99599833,,
B0a-R,B1,bursty,5.657806;5.640799;4.776288;6.311331;5.180020;5.170285;4.767421;4.535705;4.922193;5.538417;4.967821;4.823578;5.142959;5.782166,5.443460251537417,5.024575798149657,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [+5.02; +5.44]): різниця просто не встановлена,False,exploratory,5.487995382388561,поза наперед оголошеною сім'єю; не коригується,False,False,4.988505521118607,5.229770564872326,paired cluster bootstrap over sources,psnr_full,10000,14,14,0,14,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",0.0001220703125,,,True,False,source,commons:105627169;commons:106651461;commons:108911529;commons:116466520;commons:122435702;commons:123079448;commons:123689542;commons:132645039;commons:144041236;commons:74983792;commons:81047795;commons:97165575;commons:98913003;commons:99599833,,
B0a-R,B2,bursty,5.767201;5.706707;4.823079;6.293001;5.143148;5.151140;4.780672;4.588148;5.069799;5.540362;5.016729;4.810399;5.205271;5.633015,5.4567595192331675,5.052523603913831,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [+5.05; +5.46]): різниця просто не встановлена,False,exploratory,5.499329879367314,поза наперед оголошеною сім'єю; не коригується,False,False,5.020588581660586,5.252047990809147,paired cluster bootstrap over sources,psnr_full,10000,14,14,0,14,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",0.0001220703125,,,True,False,source,commons:105627169;commons:106651461;commons:108911529;commons:116466520;commons:122435702;commons:123079448;commons:123689542;commons:132645039;commons:144041236;commons:74983792;commons:81047795;commons:97165575;commons:98913003;commons:99599833,,
B0a-R,B3,bursty,-12.973127;-7.892543;-7.138184;-8.628973;-2.844853;-6.081409;-4.345269;-5.363616;-5.614853;-3.456422;-2.850783;-6.308949;-4.273898;-7.148245,-4.980714297078855,-7.273643731963161,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-7.27; -4.98]): різниця просто не встановлена,False,exploratory,-4.800828120817367,поза наперед оголошеною сім'єю; не коригується,False,False,-7.528230651968785,-6.065794615479494,paired cluster bootstrap over sources,psnr_full,10000,14,14,0,14,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",0.0001220703125,,,True,False,source,commons:105627169;commons:106651461;commons:108911529;commons:116466520;commons:122435702;commons:123079448;commons:123689542;commons:132645039;commons:144041236;commons:74983792;commons:81047795;commons:97165575;commons:98913003;commons:99599833,,
B0a-R,B4,bursty,-6.151222;-3.060721;-1.129920;-3.398743;2.888948;-0.527488;0.866258;1.568512;-1.790219;1.162453;0.026006;-1.596510;2.154978;-0.703709,0.3300284839727984,-1.7736030324896286,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-1.77; +0.33]): різниця просто не встановлена,False,exploratory,0.49736732195898975,поза наперед оголошеною сім'єю; не коригується,False,False,-1.9852938682966492,-0.6922411069473338,paired cluster bootstrap over sources,psnr_full,10000,14,14,0,14,0,0.274972502749725,nan,0.274972502749725,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",0.42626953125,,,False,False,source,commons:105627169;commons:106651461;commons:108911529;commons:116466520;commons:122435702;commons:123079448;commons:123689542;commons:132645039;commons:144041236;commons:74983792;commons:81047795;commons:97165575;commons:98913003;commons:99599833,,
B0a-R,B4t,bursty,-8.076648;-4.357058;-3.380294;-4.526521;1.134621;-3.018326;-1.179304;-0.944188;-2.253045;-1.060917;-0.005380;-3.180521;-0.085279;-1.991012,-1.3865854777915851,-3.3915424819155042,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-3.39; -1.39]): різниця просто не встановлена,False,exploratory,-1.2258736027158,поза наперед оголошеною сім'єю; не коригується,False,False,-3.6146591968182604,-2.3517051154411823,paired cluster bootstrap over sources,psnr_full,10000,14,14,0,14,0,0.00019998000199980003,nan,0.00019998000199980003,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",0.001220703125,,,True,False,source,commons:105627169;commons:106651461;commons:108911529;commons:116466520;commons:122435702;commons:123079448;commons:123689542;commons:132645039;commons:144041236;commons:74983792;commons:81047795;commons:97165575;commons:98913003;commons:99599833,,
B0a-R,P,bursty,-8.645282;-4.578840;-3.034526;-5.292762;1.344269;-2.429480;0.164005;-0.188246;-2.119890;-0.271169;0.823517;-2.482627;0.391088;-1.630364,-0.8779687473860571,-3.233081444826219,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [-3.23; -0.88]): різниця просто не встановлена,False,exploratory,-0.6876411256259087,поза наперед оголошеною сім'єю; не коригується,False,False,-3.480429723711195,-1.9964505887153627,paired cluster bootstrap over sources,psnr_full,10000,14,14,0,14,0,0.005699430056994301,nan,0.005699430056994301,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",0.020263671875,,,True,False,source,commons:105627169;commons:106651461;commons:108911529;commons:116466520;commons:122435702;commons:123079448;commons:123689542;commons:132645039;commons:144041236;commons:74983792;commons:81047795;commons:97165575;commons:98913003;commons:99599833,,
B0d,B1,bursty,11.595646;8.343610;5.838996;9.557521;2.324519;5.716162;3.998797;3.167376;6.604927;4.202118;4.991608;6.477878;3.157146;6.338370,7.026988293391803,4.803297820780401,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [+4.80; +7.03]): різниця просто не встановлена,False,exploratory,7.257490889894035,поза наперед оголошеною сім'єю; не коригується,False,False,4.630257590153221,5.879619550976071,paired cluster bootstrap over sources,psnr_full,10000,14,14,0,14,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",0.0001220703125,,,True,False,source,commons:105627169;commons:106651461;commons:108911529;commons:116466520;commons:122435702;commons:123079448;commons:123689542;commons:132645039;commons:144041236;commons:74983792;commons:81047795;commons:97165575;commons:98913003;commons:99599833,,
B0d,B2,bursty,11.705041;8.409518;5.885787;9.539192;2.287646;5.697017;4.012049;3.219820;6.752533;4.204063;5.040516;6.464699;3.219457;6.189220,7.0613079062388895,4.819619762657394,0.5,еквівалентність у межах ±0.5 НЕ показана (90% CI [+4.82; +7.06]): різниця просто не встановлена,False,exploratory,7.288361899575447,поза наперед оголошеною сім'єю; не коригується,False,False,4.641074349978324,5.9018969769128935,paired cluster bootstrap over sources,psnr_full,10000,14,14,0,14,0,9.999000099990002e-05,nan,9.999000099990002e-05,"двобічний bootstrap-тест на парних різницях (10000 перевибірок, seed 20240909)",0.0001220703125,,,True,False,source,commons:105627169;commons:106651461;commons:108911529;commons:116466520;commons:122435702;commons:123079448;commons:123689542;commons:132645039;commons:144041236;commons:74983792;commons:81047795;commons:97165575;commons:98913003;commons:99599833,,
