authenticated,channel,coverage_meaning,failures,hi,lo,mean,method,metric,n_bit_exact_excluded,n_failed,n_observations,n_scenes,n_sources,n_units,unit_of_independence
False,bursty,,{},16.26549385192314,15.2850896163337,15.738806898236929,B0a,psnr_full,0,0,1120,14,14,14,source
False,bursty,,{},21.45935006679876,20.34707673197462,20.85257707722859,B0a-R,psnr_full,0,0,1120,14,14,14,source
False,bursty,,"{""deadline_miss"": 43, ""no_sync"": 36}",23.159049256703437,20.1666295494549,21.502426063332333,B0d,psnr_full,0,79,1041,14,14,14,source
False,bursty,,{},16.160294621039107,15.16937417375966,15.622806512356263,B1,psnr_full,0,0,1120,14,14,14,source
False,bursty,,{},16.121930260615255,15.155977146399001,15.60052908641944,B2,psnr_full,0,0,1120,14,14,14,source
True,bursty,,"{""deadline_miss"": 344, ""no_sync"": 166}",28.799478757937106,25.459101029465735,26.91837169270809,B3,psnr_full,0,510,610,14,14,14,source
True,bursty,,"{""deadline_miss"": 47, ""no_sync"": 37}",23.24856491069314,20.152171808723224,21.544818184175927,B4,psnr_full,0,84,1036,14,14,14,source
True,bursty,,"{""no_sync"": 10}",24.897207410693447,21.87947021256949,23.204282192669773,B4t,psnr_full,0,10,1110,14,14,14,source
True,bursty,,"{""no_sync"": 2}",24.751198522144517,21.327141110523915,22.849027665943954,P,psnr_full,0,2,1118,14,14,14,source
False,bursty,,{},0.5751705759495443,0.5360997059491708,0.556300005088365,B0a,ssim_full,0,0,1120,14,14,14,source
False,bursty,,{},0.7187862156860814,0.6779302794533472,0.6991675290585565,B0a-R,ssim_full,0,0,1120,14,14,14,source
False,bursty,,"{""deadline_miss"": 43, ""no_sync"": 36}",0.7033576966214449,0.602573032159064,0.6496430403773771,B0d,ssim_full,0,79,1041,14,14,14,source
False,bursty,,{},0.5127244955110529,0.46343778726488627,0.488138281637727,B1,ssim_full,0,0,1120,14,14,14,source
False,bursty,,{},0.5122195514257619,0.4625357543394076,0.4873276734489847,B2,ssim_full,0,0,1120,14,14,14,source
True,bursty,,"{""deadline_miss"": 344, ""no_sync"": 166}",0.8115525901335456,0.7430584932420774,0.7779943524111977,B3,ssim_full,0,510,610,14,14,14,source
True,bursty,,"{""deadline_miss"": 47, ""no_sync"": 37}",0.7040602119595373,0.6038358677108873,0.6503595636965304,B4,ssim_full,0,84,1036,14,14,14,source
True,bursty,,"{""no_sync"": 10}",0.7115686532908447,0.6228738242017523,0.6648410437141318,B4t,ssim_full,0,10,1110,14,14,14,source
True,bursty,,"{""no_sync"": 2}",0.6718819163735649,0.5674707505804908,0.6157676365526376,P,ssim_full,0,2,1118,14,14,14,source
False,bursty,"картинка показана, але НЕ автентифікована",{},1.0,1.0,1.0,B0a,coverage,0,0,1120,14,14,14,source
False,bursty,"картинка показана, але НЕ автентифікована",{},1.0,1.0,1.0,B0a-R,coverage,0,0,1120,14,14,14,source
False,bursty,"картинка показана, але НЕ автентифікована","{""deadline_miss"": 43, ""no_sync"": 36}",0.7618896337107832,0.7311066872115979,0.7459126253211075,B0d,coverage,0,79,1041,14,14,14,source
False,bursty,"картинка показана, але НЕ автентифікована",{},1.0,1.0,1.0,B1,coverage,0,0,1120,14,14,14,source
False,bursty,"картинка показана, але НЕ автентифікована",{},1.0,1.0,1.0,B2,coverage,0,0,1120,14,14,14,source
True,bursty,,"{""deadline_miss"": 344, ""no_sync"": 166}",1.0,1.0,1.0,B3,coverage,0,510,610,14,14,14,source
True,bursty,,"{""deadline_miss"": 47, ""no_sync"": 37}",0.7647421246907854,0.7337466332031064,0.7487271285262356,B4,coverage,0,84,1036,14,14,14,source
True,bursty,,"{""no_sync"": 10}",0.8813431919642858,0.8584784890518709,0.8708306760204082,B4t,coverage,0,10,1110,14,14,14,source
True,bursty,,"{""no_sync"": 2}",0.8228683035714287,0.803013392857143,0.8141127232142857,P,coverage,0,2,1118,14,14,14,source
False,bursty,,{},16.26549385192314,15.2850896163337,15.738806898236929,B0a,psnr_verified,0,0,1120,14,14,14,source
False,bursty,,{},21.45935006679876,20.34707673197462,20.85257707722859,B0a-R,psnr_verified,0,0,1120,14,14,14,source
