channel,clip,count,frame_id,job_id,method,repetition,scene,status
clean,nat_074983792,8,0,58d11333aee1c2a1,B0d,0,natural:74983792,verified
clean,nat_074983792,8,1,58d11333aee1c2a1,B0d,0,natural:74983792,verified
clean,nat_074983792,8,2,58d11333aee1c2a1,B0d,0,natural:74983792,verified
clean,nat_074983792,8,3,58d11333aee1c2a1,B0d,0,natural:74983792,verified
clean,nat_074983792,8,4,58d11333aee1c2a1,B0d,0,natural:74983792,verified
clean,nat_074983792,8,5,58d11333aee1c2a1,B0d,0,natural:74983792,verified
clean,nat_074983792,8,6,58d11333aee1c2a1,B0d,0,natural:74983792,verified
clean,nat_074983792,8,7,58d11333aee1c2a1,B0d,0,natural:74983792,verified
clean,nat_074983792,8,8,58d11333aee1c2a1,B0d,0,natural:74983792,verified
clean,nat_074983792,8,9,58d11333aee1c2a1,B0d,0,natural:74983792,verified
clean,nat_074983792,8,10,58d11333aee1c2a1,B0d,0,natural:74983792,verified
clean,nat_074983792,8,11,58d11333aee1c2a1,B0d,0,natural:74983792,verified
clean,nat_074983792,8,12,58d11333aee1c2a1,B0d,0,natural:74983792,verified
clean,nat_074983792,8,13,58d11333aee1c2a1,B0d,0,natural:74983792,verified
clean,nat_074983792,8,14,58d11333aee1c2a1,B0d,0,natural:74983792,verified
clean,nat_074983792,8,15,58d11333aee1c2a1,B0d,0,natural:74983792,verified
clean,nat_074983792,8,0,943337b649a18231,B0d,1,natural:74983792,verified
clean,nat_074983792,8,1,943337b649a18231,B0d,1,natural:74983792,verified
clean,nat_074983792,8,2,943337b649a18231,B0d,1,natural:74983792,verified
clean,nat_074983792,8,3,943337b649a18231,B0d,1,natural:74983792,verified
clean,nat_074983792,8,4,943337b649a18231,B0d,1,natural:74983792,verified
clean,nat_074983792,8,5,943337b649a18231,B0d,1,natural:74983792,verified
clean,nat_074983792,8,6,943337b649a18231,B0d,1,natural:74983792,verified
clean,nat_074983792,8,7,943337b649a18231,B0d,1,natural:74983792,verified
clean,nat_074983792,8,8,943337b649a18231,B0d,1,natural:74983792,verified
clean,nat_074983792,8,9,943337b649a18231,B0d,1,natural:74983792,verified
clean,nat_074983792,8,10,943337b649a18231,B0d,1,natural:74983792,verified
clean,nat_074983792,8,11,943337b649a18231,B0d,1,natural:74983792,verified
clean,nat_074983792,8,12,943337b649a18231,B0d,1,natural:74983792,verified
clean,nat_074983792,8,13,943337b649a18231,B0d,1,natural:74983792,verified
clean,nat_074983792,8,14,943337b649a18231,B0d,1,natural:74983792,verified
clean,nat_074983792,8,15,943337b649a18231,B0d,1,natural:74983792,verified
clean,nat_074983792,8,0,e2cb0a49f7296e4e,B0d,3,natural:74983792,verified
clean,nat_074983792,8,1,e2cb0a49f7296e4e,B0d,3,natural:74983792,verified
clean,nat_074983792,8,2,e2cb0a49f7296e4e,B0d,3,natural:74983792,verified
clean,nat_074983792,8,3,e2cb0a49f7296e4e,B0d,3,natural:74983792,verified
clean,nat_074983792,8,4,e2cb0a49f7296e4e,B0d,3,natural:74983792,verified
clean,nat_074983792,8,5,e2cb0a49f7296e4e,B0d,3,natural:74983792,verified
clean,nat_074983792,8,6,e2cb0a49f7296e4e,B0d,3,natural:74983792,verified
clean,nat_074983792,8,7,e2cb0a49f7296e4e,B0d,3,natural:74983792,verified
clean,nat_074983792,8,8,e2cb0a49f7296e4e,B0d,3,natural:74983792,verified
clean,nat_074983792,8,9,e2cb0a49f7296e4e,B0d,3,natural:74983792,verified
clean,nat_074983792,8,10,e2cb0a49f7296e4e,B0d,3,natural:74983792,verified
clean,nat_074983792,8,11,e2cb0a49f7296e4e,B0d,3,natural:74983792,verified
clean,nat_074983792,8,12,e2cb0a49f7296e4e,B0d,3,natural:74983792,verified
clean,nat_074983792,8,13,e2cb0a49f7296e4e,B0d,3,natural:74983792,verified
clean,nat_074983792,8,14,e2cb0a49f7296e4e,B0d,3,natural:74983792,verified
clean,nat_074983792,8,15,e2cb0a49f7296e4e,B0d,3,natural:74983792,verified
clean,nat_074983792,8,0,0ceeb85973615d05,B0d,2,natural:74983792,verified
clean,nat_074983792,8,1,0ceeb85973615d05,B0d,2,natural:74983792,verified
clean,nat_074983792,8,2,0ceeb85973615d05,B0d,2,natural:74983792,verified
clean,nat_074983792,8,3,0ceeb85973615d05,B0d,2,natural:74983792,verified
clean,nat_074983792,8,4,0ceeb85973615d05,B0d,2,natural:74983792,verified
clean,nat_074983792,8,5,0ceeb85973615d05,B0d,2,natural:74983792,verified
clean,nat_074983792,8,6,0ceeb85973615d05,B0d,2,natural:74983792,verified
clean,nat_074983792,8,7,0ceeb85973615d05,B0d,2,natural:74983792,verified
clean,nat_074983792,8,8,0ceeb85973615d05,B0d,2,natural:74983792,verified
clean,nat_074983792,8,9,0ceeb85973615d05,B0d,2,natural:74983792,verified
clean,nat_074983792,8,10,0ceeb85973615d05,B0d,2,natural:74983792,verified
clean,nat_074983792,8,11,0ceeb85973615d05,B0d,2,natural:74983792,verified
clean,nat_074983792,8,12,0ceeb85973615d05,B0d,2,natural:74983792,verified
clean,nat_074983792,8,13,0ceeb85973615d05,B0d,2,natural:74983792,verified
clean,nat_074983792,8,14,0ceeb85973615d05,B0d,2,natural:74983792,verified
clean,nat_074983792,8,15,0ceeb85973615d05,B0d,2,natural:74983792,verified
clean,nat_074983792,8,0,b1ae6faa2f3ff085,B0d,4,natural:74983792,verified
clean,nat_074983792,8,1,b1ae6faa2f3ff085,B0d,4,natural:74983792,verified
clean,nat_074983792,8,2,b1ae6faa2f3ff085,B0d,4,natural:74983792,verified
clean,nat_074983792,8,3,b1ae6faa2f3ff085,B0d,4,natural:74983792,verified
clean,nat_074983792,8,4,b1ae6faa2f3ff085,B0d,4,natural:74983792,verified
clean,nat_074983792,8,5,b1ae6faa2f3ff085,B0d,4,natural:74983792,verified
