channel,coverage_mean,method,n,psnr_mean,rasters_mean
clean,1.0,B0a,16,54.42378042554222,1.0
clean,1.0,B0d,16,29.33750028209308,2.0
clean,1.0,B1,16,54.42378042554222,1.0
clean,1.0,B2,16,54.42378042554222,1.0
clean,1.0,B3,16,29.33750028209308,1.375
clean,1.0,B4,16,29.33750028209308,2.0
clean,1.0,P,16,25.61393475413381,3.0
mild,1.0,B0a,16,29.162863187935578,1.0
mild,1.0,B0d,16,29.33750028209308,2.0
mild,1.0,B1,16,27.638940071365205,1.0
mild,1.0,B2,16,27.607022906235315,1.0
mild,1.0,B3,16,29.33750028209308,1.375
mild,1.0,B4,16,29.33750028209308,2.0
mild,1.0,P,16,25.61393475413381,3.0
moderate,1.0,B0a,16,21.45441419656845,1.0
moderate,0.953125,B0d,16,28.00674690759638,2.0
moderate,1.0,B1,16,20.07748539051709,1.0
moderate,1.0,B2,16,19.989075770797612,1.0
moderate,0.9375,B3,16,28.726743791600008,1.375
moderate,0.9375,B4,16,27.294123902616192,2.0
moderate,0.97265625,P,16,25.52859023366539,3.0
bursty,1.0,B0a,16,15.375198032454565,1.0
bursty,0.5625,B0d,16,15.343304112632957,2.0
bursty,1.0,B1,16,15.318961663297141,1.0
bursty,1.0,B2,16,15.266859336768047,1.0
bursty,0.625,B3,16,24.300898374594908,1.375
bursty,0.5625,B4,16,15.343304112632957,2.0
bursty,0.77734375,P,16,21.344512199981146,3.0
harsh,0.875,B0a,16,14.590974925734361,1.0
harsh,0.0,B0d,16,11.989543041557834,2.0
harsh,0.875,B1,16,14.026492410188053,1.0
harsh,0.875,B2,16,14.014410107974069,1.0
harsh,0.0,B3,16,11.989543041557834,1.375
harsh,0.0,B4,16,11.989543041557834,2.0
harsh,0.0,P,16,11.989543041557834,3.0
